cod_ocorrencia;ano;mes_ano;munic;mcirc;regiao;roubo_comercio
103;2003;2003m01;"Santo Antônio de Pádua;Aperibé";9999993;Interior;1
104;2003;2003m01;Miracema;3303005;Interior;0
105;2003;2003m01;Laje do Muriaé;3302304;Interior;0
106;2003;2003m01;Porciúncula;3304102;Interior;0
107;2003;2003m01;"Natividade;Varre-Sai";9999997;Interior;0
108;2003;2003m01;São Fidélis;3304805;Interior;0
109;2003;2003m01;Cambuci;3300902;Interior;0
110;2003;2003m01;"Itaperuna;São José de Ubá;Cardoso Moreira;Italva";9999986;Interior;1
111;2003;2003m01;Bom Jesus de Itabapoana;3300605;Interior;0
112;2003;2003m01;São João da Barra;3305000;Interior;0
113;2003;2003m01;"Campos dos Goytacazes;São Francisco de Itabapoana";9999987;Interior;6
114;2003;2003m01;Nova Friburgo;3303401;Interior;2
115;2003;2003m01;Duas Barras;3301603;Interior;0
116;2003;2003m01;Cantagalo;3301108;Interior;0
117;2003;2003m01;"Cordeiro;Macuco";9999998;Interior;0
118;2003;2003m01;São Sebastião do Alto;3305307;Interior;0
119;2003;2003m01;Santa Maria Madalena;3304607;Interior;0
120;2003;2003m01;Trajano de Morais;3305901;Interior;0
121;2003;2003m01;Bom Jardim;3300506;Interior;0
122;2003;2003m01;Cachoeiras de Macacu;3300803;Interior;0
123;2003;2003m01;Mangaratiba;3302601;Interior;1
124;2003;2003m01;Angra dos Reis;3300100;Interior;4
125;2003;2003m01;Paraty;3303807;Interior;1
126;2003;2003m01;Rio Claro;3304409;Interior;0
127;2003;2003m02;Rio de Janeiro;3304557;Capital;19
128;2003;2003m02;Rio de Janeiro;3304557;Capital;6
129;2003;2003m02;Rio de Janeiro;3304557;Capital;8
130;2003;2003m02;Rio de Janeiro;3304557;Capital;6
131;2003;2003m02;Rio de Janeiro;3304557;Capital;2
132;2003;2003m02;Rio de Janeiro;3304557;Capital;8
133;2003;2003m02;Rio de Janeiro;3304557;Capital;15
134;2003;2003m02;Rio de Janeiro;3304557;Capital;6
135;2003;2003m02;Rio de Janeiro;3304557;Capital;10
136;2003;2003m02;Rio de Janeiro;3304557;Capital;6
137;2003;2003m02;Rio de Janeiro;3304557;Capital;0
138;2003;2003m02;Rio de Janeiro;3304557;Capital;16
139;2003;2003m02;Rio de Janeiro;3304557;Capital;9
140;2003;2003m02;Rio de Janeiro;3304557;Capital;7
141;2003;2003m02;Rio de Janeiro;3304557;Capital;14
142;2003;2003m02;Rio de Janeiro;3304557;Capital;12
143;2003;2003m02;Rio de Janeiro;3304557;Capital;19
144;2003;2003m02;Rio de Janeiro;3304557;Capital;20
145;2003;2003m02;Rio de Janeiro;3304557;Capital;17
146;2003;2003m02;Rio de Janeiro;3304557;Capital;14
147;2003;2003m02;Rio de Janeiro;3304557;Capital;10
148;2003;2003m02;Rio de Janeiro;3304557;Capital;0
149;2003;2003m02;Rio de Janeiro;3304557;Capital;16
150;2003;2003m02;Rio de Janeiro;3304557;Capital;12
151;2003;2003m02;Rio de Janeiro;3304557;Capital;23
152;2003;2003m02;Rio de Janeiro;3304557;Capital;6
153;2003;2003m02;Rio de Janeiro;3304557;Capital;0
154;2003;2003m02;Rio de Janeiro;3304557;Capital;21
155;2003;2003m02;Rio de Janeiro;3304557;Capital;4
156;2003;2003m02;Rio de Janeiro;3304557;Capital;13
157;2003;2003m02;Rio de Janeiro;3304557;Capital;25
158;2003;2003m02;Rio de Janeiro;3304557;Capital;10
159;2003;2003m02;Rio de Janeiro;3304557;Capital;6
160;2003;2003m02;Rio de Janeiro;3304557;Capital;15
161;2003;2003m02;Rio de Janeiro;3304557;Capital;7
162;2003;2003m02;Rio de Janeiro;3304557;Capital;10
163;2003;2003m02;Rio de Janeiro;3304557;Capital;15
164;2003;2003m02;Rio de Janeiro;3304557;Capital;7
165;2003;2003m02;Seropédica;3305554;Baixada Fluminense;4
166;2003;2003m02;Itaguaí;3302007;Baixada Fluminense;1
167;2003;2003m02;Paracambi;3303609;Baixada Fluminense;0
168;2003;2003m02;Nova Iguaçu;3303500;Baixada Fluminense;11
169;2003;2003m02;Mesquita;3302858;Baixada Fluminense;4
170;2003;2003m02;Belford Roxo;3300456;Baixada Fluminense;5
171;2003;2003m02;"Queimados;Japeri";9999981;Baixada Fluminense;6
172;2003;2003m02;Nova Iguaçu;3303500;Baixada Fluminense;5
173;2003;2003m02;Nilópolis;3303203;Baixada Fluminense;11
174;2003;2003m02;Nova Iguaçu;3303500;Baixada Fluminense;3
175;2003;2003m02;Duque de Caxias;3301702;Baixada Fluminense;25
176;2003;2003m02;Duque de Caxias;3301702;Baixada Fluminense;8
177;2003;2003m02;Duque de Caxias;3301702;Baixada Fluminense;0
178;2003;2003m02;Duque de Caxias;3301702;Baixada Fluminense;6
179;2003;2003m02;São João de Meriti;3305109;Baixada Fluminense;10
180;2003;2003m02;"Magé;Guapimirim";9999982;Baixada Fluminense;6
181;2003;2003m02;Magé;3302502;Baixada Fluminense;3
182;2003;2003m02;"Itaboraí;Tanguá";9999983;Interior;11
183;2003;2003m02;São Gonçalo;3304904;Grande Niterói;10
184;2003;2003m02;São Gonçalo;3304904;Grande Niterói;13
185;2003;2003m02;São Gonçalo;3304904;Grande Niterói;9
186;2003;2003m02;São Gonçalo;3304904;Grande Niterói;2
187;2003;2003m02;Niterói;3303302;Grande Niterói;21
188;2003;2003m02;Niterói;3303302;Grande Niterói;10
189;2003;2003m02;Niterói;3303302;Grande Niterói;8
190;2003;2003m02;Niterói;3303302;Grande Niterói;6
191;2003;2003m02;Niterói;3303302;Grande Niterói;2
192;2003;2003m02;Maricá;3302700;Grande Niterói;2
193;2003;2003m02;Barra do Pirai;3300308;Interior;1
194;2003;2003m02;Resende;3304201;Interior;4
195;2003;2003m02;Barra Mansa;3300407;Interior;14
196;2003;2003m02;Valença;3306107;Interior;0
197;2003;2003m02;Rio das Flores;3304508;Interior;0
198;2003;2003m02;Volta Redonda;3306305;Interior;14
199;2003;2003m02;"Piraí;Pinheiral";9999988;Interior;0
200;2003;2003m02;Vassouras;3306206;Interior;0
201;2003;2003m02;"Miguel Pereira;Paty dos Alferes";9999999;Interior;0
202;2003;2003m02;Mendes;3302809;Interior;0
203;2003;2003m02;Engenheiro Paulo de Frontin;3301801;Interior;0
204;2003;2003m02;Itatiaia;3302254;Interior;1
205;2003;2003m02;"Porto Real;Quatis";9999992;Interior;3
206;2003;2003m02;São José do Vale do Rio Preto;3305158;Interior;0
207;2003;2003m02;Petrópolis;3303906;Interior;3
208;2003;2003m02;Petrópolis;3303906;Interior;0
209;2003;2003m02;Paraíba do Sul;3303708;Interior;0
210;2003;2003m02;"Comendador Levy Gasparian;Areal;Três Rios";9999991;Interior;5
211;2003;2003m02;Sapucaia;3305406;Interior;0
212;2003;2003m02;Teresópolis;3305802;Interior;3
213;2003;2003m02;Sumidouro;3305703;Interior;0
214;2003;2003m02;Carmo;3301207;Interior;0
215;2003;2003m02;Araruama;3300209;Interior;1
216;2003;2003m02;Rio Bonito;3304300;Interior;3
217;2003;2003m02;Silva Jardim;3305604;Interior;1
218;2003;2003m02;Casimiro de Abreu;3301306;Interior;0
219;2003;2003m02;Conceição de Macabú;3301405;Interior;0
220;2003;2003m02;"Macaé;Quissamã;Carapebus";9999984;Interior;4
221;2003;2003m02;Saquarema;3305505;Interior;1
222;2003;2003m02;São Pedro da Aldeia;3305208;Interior;2
223;2003;2003m02;"Cabo Frio;Arraial do Cabo";9999985;Interior;7
224;2003;2003m02;Armação dos Búzios;3300233;Interior;2
225;2003;2003m02;Rio das Ostras;3304524;Interior;1
226;2003;2003m02;Iguaba Grande;3301876;Interior;0
227;2003;2003m02;Campos dos Goytacazes;3301009;Interior;18
228;2003;2003m02;Itaocara;3302106;Interior;0
229;2003;2003m02;"Santo Antônio de Pádua;Aperibé";9999993;Interior;1
230;2003;2003m02;Miracema;3303005;Interior;0
231;2003;2003m02;Laje do Muriaé;3302304;Interior;0
232;2003;2003m02;Porciúncula;3304102;Interior;0
233;2003;2003m02;"Natividade;Varre-Sai";9999997;Interior;0
234;2003;2003m02;São Fidélis;3304805;Interior;1
235;2003;2003m02;Cambuci;3300902;Interior;0
236;2003;2003m02;"Itaperuna;São José de Ubá;Cardoso Moreira;Italva";9999986;Interior;1
237;2003;2003m02;Bom Jesus de Itabapoana;3300605;Interior;0
238;2003;2003m02;São João da Barra;3305000;Interior;0
239;2003;2003m02;"Campos dos Goytacazes;São Francisco de Itabapoana";9999987;Interior;5
240;2003;2003m02;Nova Friburgo;3303401;Interior;3
241;2003;2003m02;Duas Barras;3301603;Interior;0
242;2003;2003m02;Cantagalo;3301108;Interior;0
243;2003;2003m02;"Cordeiro;Macuco";9999998;Interior;0
244;2003;2003m02;São Sebastião do Alto;3305307;Interior;0
245;2003;2003m02;Santa Maria Madalena;3304607;Interior;0
246;2003;2003m02;Trajano de Morais;3305901;Interior;0
247;2003;2003m02;Bom Jardim;3300506;Interior;1
248;2003;2003m02;Cachoeiras de Macacu;3300803;Interior;0
249;2003;2003m02;Mangaratiba;3302601;Interior;0
250;2003;2003m02;Angra dos Reis;3300100;Interior;3
251;2003;2003m02;Paraty;3303807;Interior;1
252;2003;2003m02;Rio Claro;3304409;Interior;0
253;2003;2003m03;Rio de Janeiro;3304557;Capital;12
254;2003;2003m03;Rio de Janeiro;3304557;Capital;3
255;2003;2003m03;Rio de Janeiro;3304557;Capital;15
256;2003;2003m03;Rio de Janeiro;3304557;Capital;5
257;2003;2003m03;Rio de Janeiro;3304557;Capital;1
258;2003;2003m03;Rio de Janeiro;3304557;Capital;7
259;2003;2003m03;Rio de Janeiro;3304557;Capital;5
260;2003;2003m03;Rio de Janeiro;3304557;Capital;7
261;2003;2003m03;Rio de Janeiro;3304557;Capital;8
262;2003;2003m03;Rio de Janeiro;3304557;Capital;5
263;2003;2003m03;Rio de Janeiro;3304557;Capital;2
264;2003;2003m03;Rio de Janeiro;3304557;Capital;12
265;2003;2003m03;Rio de Janeiro;3304557;Capital;4
266;2003;2003m03;Rio de Janeiro;3304557;Capital;5
267;2003;2003m03;Rio de Janeiro;3304557;Capital;20
268;2003;2003m03;Rio de Janeiro;3304557;Capital;4
269;2003;2003m03;Rio de Janeiro;3304557;Capital;7
270;2003;2003m03;Rio de Janeiro;3304557;Capital;14
271;2003;2003m03;Rio de Janeiro;3304557;Capital;27
272;2003;2003m03;Rio de Janeiro;3304557;Capital;7
273;2003;2003m03;Rio de Janeiro;3304557;Capital;7
