cod_ocorrencia;ano;mes_ano;munic;mcirc;regiao;roubo_rua
103;2003;2003m01;"Santo Antônio de Pádua;Aperibé";9999993;Interior;0
104;2003;2003m01;Miracema;3303005;Interior;0
105;2003;2003m01;Laje do Muriaé;3302304;Interior;0
106;2003;2003m01;Porciúncula;3304102;Interior;0
107;2003;2003m01;"Natividade;Varre-Sai";9999997;Interior;0
108;2003;2003m01;São Fidélis;3304805;Interior;0
109;2003;2003m01;Cambuci;3300902;Interior;1
110;2003;2003m01;"Itaperuna;São José de Ubá;Cardoso Moreira;Italva";9999986;Interior;3
111;2003;2003m01;Bom Jesus de Itabapoana;3300605;Interior;0
112;2003;2003m01;São João da Barra;3305000;Interior;0
113;2003;2003m01;"Campos dos Goytacazes;São Francisco de Itabapoana";9999987;Interior;8
114;2003;2003m01;Nova Friburgo;3303401;Interior;14
115;2003;2003m01;Duas Barras;3301603;Interior;1
116;2003;2003m01;Cantagalo;3301108;Interior;0
117;2003;2003m01;"Cordeiro;Macuco";9999998;Interior;0
118;2003;2003m01;São Sebastião do Alto;3305307;Interior;0
119;2003;2003m01;Santa Maria Madalena;3304607;Interior;0
120;2003;2003m01;Trajano de Morais;3305901;Interior;0
121;2003;2003m01;Bom Jardim;3300506;Interior;1
122;2003;2003m01;Cachoeiras de Macacu;3300803;Interior;1
123;2003;2003m01;Mangaratiba;3302601;Interior;2
124;2003;2003m01;Angra dos Reis;3300100;Interior;9
125;2003;2003m01;Paraty;3303807;Interior;2
126;2003;2003m01;Rio Claro;3304409;Interior;1
127;2003;2003m02;Rio de Janeiro;3304557;Capital;99
128;2003;2003m02;Rio de Janeiro;3304557;Capital;72
129;2003;2003m02;Rio de Janeiro;3304557;Capital;77
130;2003;2003m02;Rio de Janeiro;3304557;Capital;58
131;2003;2003m02;Rio de Janeiro;3304557;Capital;2
132;2003;2003m02;Rio de Janeiro;3304557;Capital;53
133;2003;2003m02;Rio de Janeiro;3304557;Capital;67
134;2003;2003m02;Rio de Janeiro;3304557;Capital;47
135;2003;2003m02;Rio de Janeiro;3304557;Capital;28
136;2003;2003m02;Rio de Janeiro;3304557;Capital;52
137;2003;2003m02;Rio de Janeiro;3304557;Capital;11
138;2003;2003m02;Rio de Janeiro;3304557;Capital;52
139;2003;2003m02;Rio de Janeiro;3304557;Capital;57
140;2003;2003m02;Rio de Janeiro;3304557;Capital;76
141;2003;2003m02;Rio de Janeiro;3304557;Capital;58
142;2003;2003m02;Rio de Janeiro;3304557;Capital;59
143;2003;2003m02;Rio de Janeiro;3304557;Capital;118
144;2003;2003m02;Rio de Janeiro;3304557;Capital;70
145;2003;2003m02;Rio de Janeiro;3304557;Capital;67
146;2003;2003m02;Rio de Janeiro;3304557;Capital;33
147;2003;2003m02;Rio de Janeiro;3304557;Capital;30
148;2003;2003m02;Rio de Janeiro;3304557;Capital;0
149;2003;2003m02;Rio de Janeiro;3304557;Capital;49
150;2003;2003m02;Rio de Janeiro;3304557;Capital;45
151;2003;2003m02;Rio de Janeiro;3304557;Capital;102
152;2003;2003m02;Rio de Janeiro;3304557;Capital;61
153;2003;2003m02;Rio de Janeiro;3304557;Capital;3
154;2003;2003m02;Rio de Janeiro;3304557;Capital;50
155;2003;2003m02;Rio de Janeiro;3304557;Capital;48
156;2003;2003m02;Rio de Janeiro;3304557;Capital;79
157;2003;2003m02;Rio de Janeiro;3304557;Capital;83
158;2003;2003m02;Rio de Janeiro;3304557;Capital;50
159;2003;2003m02;Rio de Janeiro;3304557;Capital;68
160;2003;2003m02;Rio de Janeiro;3304557;Capital;48
161;2003;2003m02;Rio de Janeiro;3304557;Capital;88
162;2003;2003m02;Rio de Janeiro;3304557;Capital;48
163;2003;2003m02;Rio de Janeiro;3304557;Capital;39
164;2003;2003m02;Rio de Janeiro;3304557;Capital;27
165;2003;2003m02;Seropédica;3305554;Baixada Fluminense;6
166;2003;2003m02;Itaguaí;3302007;Baixada Fluminense;13
167;2003;2003m02;Paracambi;3303609;Baixada Fluminense;4
168;2003;2003m02;Nova Iguaçu;3303500;Baixada Fluminense;39
169;2003;2003m02;Mesquita;3302858;Baixada Fluminense;31
170;2003;2003m02;Belford Roxo;3300456;Baixada Fluminense;22
171;2003;2003m02;"Queimados;Japeri";9999981;Baixada Fluminense;12
172;2003;2003m02;Nova Iguaçu;3303500;Baixada Fluminense;19
173;2003;2003m02;Nilópolis;3303203;Baixada Fluminense;40
174;2003;2003m02;Nova Iguaçu;3303500;Baixada Fluminense;24
175;2003;2003m02;Duque de Caxias;3301702;Baixada Fluminense;162
176;2003;2003m02;Duque de Caxias;3301702;Baixada Fluminense;39
177;2003;2003m02;Duque de Caxias;3301702;Baixada Fluminense;1
178;2003;2003m02;Duque de Caxias;3301702;Baixada Fluminense;8
179;2003;2003m02;São João de Meriti;3305109;Baixada Fluminense;50
180;2003;2003m02;"Magé;Guapimirim";9999982;Baixada Fluminense;7
181;2003;2003m02;Magé;3302502;Baixada Fluminense;10
182;2003;2003m02;"Itaboraí;Tanguá";9999983;Interior;25
183;2003;2003m02;São Gonçalo;3304904;Grande Niterói;46
184;2003;2003m02;São Gonçalo;3304904;Grande Niterói;25
185;2003;2003m02;São Gonçalo;3304904;Grande Niterói;83
186;2003;2003m02;São Gonçalo;3304904;Grande Niterói;12
187;2003;2003m02;Niterói;3303302;Grande Niterói;90
188;2003;2003m02;Niterói;3303302;Grande Niterói;60
189;2003;2003m02;Niterói;3303302;Grande Niterói;41
190;2003;2003m02;Niterói;3303302;Grande Niterói;13
191;2003;2003m02;Niterói;3303302;Grande Niterói;9
192;2003;2003m02;Maricá;3302700;Grande Niterói;4
193;2003;2003m02;Barra do Pirai;3300308;Interior;2
194;2003;2003m02;Resende;3304201;Interior;19
195;2003;2003m02;Barra Mansa;3300407;Interior;11
196;2003;2003m02;Valença;3306107;Interior;1
197;2003;2003m02;Rio das Flores;3304508;Interior;0
198;2003;2003m02;Volta Redonda;3306305;Interior;22
199;2003;2003m02;"Piraí;Pinheiral";9999988;Interior;1
200;2003;2003m02;Vassouras;3306206;Interior;1
201;2003;2003m02;"Miguel Pereira;Paty dos Alferes";9999999;Interior;0
202;2003;2003m02;Mendes;3302809;Interior;1
203;2003;2003m02;Engenheiro Paulo de Frontin;3301801;Interior;0
204;2003;2003m02;Itatiaia;3302254;Interior;1
205;2003;2003m02;"Porto Real;Quatis";9999992;Interior;2
206;2003;2003m02;São José do Vale do Rio Preto;3305158;Interior;0
207;2003;2003m02;Petrópolis;3303906;Interior;13
208;2003;2003m02;Petrópolis;3303906;Interior;2
209;2003;2003m02;Paraíba do Sul;3303708;Interior;0
210;2003;2003m02;"Comendador Levy Gasparian;Areal;Três Rios";9999991;Interior;8
211;2003;2003m02;Sapucaia;3305406;Interior;1
212;2003;2003m02;Teresópolis;3305802;Interior;3
213;2003;2003m02;Sumidouro;3305703;Interior;0
214;2003;2003m02;Carmo;3301207;Interior;0
215;2003;2003m02;Araruama;3300209;Interior;4
216;2003;2003m02;Rio Bonito;3304300;Interior;5
217;2003;2003m02;Silva Jardim;3305604;Interior;0
